1000 0.500000
0
1
0
Filter @ 0x117f010
- filter -
size:  1000
error: 0.500000
- bloom -
bit_size:   1443
bit/entry:  1.443000
byte_size:  181
hash_num:   1
entries:    1
20010031 1048135778 4
40010420 951700908 5
20010006 891072920 6
20010036 584809255 7
20010017 508515914 8
40010624 407428647 9
20010024 340269138 9
20010001 338810315 5
40010108 338702986 6
40010357 295475976 7
40010287 263103874 8
40010377 247607159 8
20010038 195408440 6
20010027 167651399 7
40010162 147082518 8
40010079 137727923 8
20010026 134761597 7
40010062 130261583 8
40010526 112251997 9
40010595 107284911 9
20010013 94492362 8
20010028 91824133 9
20010021 88804249 9
40010597 84707788 9
20010018 80968054 9
20010011 79254991 10
40010293 70612606 10
40010511 70305169 10
40010436 66818274 11
20010032 66632530 12
20010014 64518011 13
40010353 63951728 14
40010565 63245970 15
20010008 62322856 16
30030010 62047640 17
40010152 60704799 17
40010463 59103240 5
40010598 56291634 6
30030005 55747898 7
40010596 55672941 8
20010025 55455000 8
40010412 54897380 6
40010460 54048870 7
50000079 52998258 8
50000058 50837348 8
40010528 49587863 7
40010105 48214175 8
50000086 45080588 8
20010019 44597999 8
40010136 43948248 9
40010527 43911696 9
50000081 41477547 9
40010604 41117746 9
40010369 38586246 10
40010446 38415097 10
40010021 37849166 10
40010478 37044787 11
40010181 37043935 12
40010622 36905953 13
40010423 36621250 14
40010126 36609093 15
30030015 36523343 16
40010355 35357438 17
50000064 35243722 17
50000000 34483491 6
40010139 34260158 7
40010538 34189158 8
40010352 33986764 8
40010472 33606238 7
20010029 32091641 8
10010002 32060072 8
40010402 31110003 8
40010164 30447591 9
50000078 29856900 9
40010161 29381004 9
40010571 28802684 9
50000080 28196918 10
40010556 28050788 10
30030006 27953563 10
40010131 27122752 11
20010034 27080772 12
20010012 26537543 13
50000082 26247069 14
50000065 26101847 15
20010040 24774227 16
20010007 24531721 17
40010155 24433077 17
20010005 23736609 7
40010256 23594049 8
40010133 23124212 8
40010127 23118465 8
40010271 23110554 9
30030011 22913960 9
50000085 22808851 9
40010153 22304606 9
50000134 21943596 10
40010124 20781804 10
40010421 20661871 10
40010101 20559866 11
40010566 20546652 12
40010567 20282882 13
20010039 20085745 14
40010490 19029126 15
40010118 18871715 16
40010130 18736244 16
40010422 18579611 8
50000118 18552823 9
40010163 17875704 9
40010159 17583258 9
20010002 17344997 9
50000138 17334344 10
40010437 17306828 10
40010142 17027323 10
40010512 16917053 11
50000084 16876790 12
50000090 16502094 13
40010120 16103982 14
30030001 15948118 15
40010513 15913773 16
40010464 15568120 16
40010141 15536090 9
40010466 15500377 9
40010234 15393832 10
50000083 15126047 10
50000088 15054895 10
40010144 14522708 11
30020007 14418600 12
40010122 14290404 13
40010065 14272447 14
40010439 14146042 15
20010037 13951982 16
50000122 13915255 16
40010379 13804843 9
40010128 13545502 10
50000067 13344577 11
40010237 13302749 12
40010129 13301973 13
40010156 13224816 14
40010258 13195532 15
40010112 12974702 16
50000099 12885908 16
40010113 12542579 10
50000105 12527980 11
40010009 12030292 12
50000137 11996578 13
30040002 11894771 14
50000121 11688686 15
40010491 11616309 15
40040001 11447628 11
40010454 11425887 12
50000062 11292199 13
40010427 11176401 14
40010433 11162937 15
40010499 10891782 15
40010473 10795076 12
40010236 10772582 13
40010532 10665805 14
50000093 10498783 15
40010574 10151157 15
50000111 10130387 13
40010110 9997409 14
40010438 9984621 15
40010605 9962632 15
40010413 9849696 14
50000066 9839668 15
40010541 9732000 15
40010114 9589984 15
40010479 9540908 15
40010492 9248637 16
40010303 8900124 16
50000142 8865582 17
40010592 8811326 17
40010577 8778028 17
40010474 8777440 18
50000119 8761168 19
40010502 8756706 20
40010457 8692882 21
50000117 8571610 22
40010465 8453840 23
