1000 0.500000
0
1
0
Filter @ 0x8ae010
- filter -
size:  1000
error: 0.500000
- bloom -
bit_size:   1443
bit/entry:  1.443000
byte_size:  181
hash_num:   1
entries:    1
20010031 1048135778 9
40010420 951700908 10
20010006 891072920 10
20010036 584809255 10
20010017 508515914 10
40010624 407428647 10
20010024 340269138 10
20010001 338810315 9
40010108 338702986 10
40010357 295475976 10
40010287 263103874 10
40010377 247607159 10
20010038 195408440 10
20010027 167651399 10
40010162 147082518 9
40010079 137727923 10
20010026 134761597 10
40010062 130261583 10
40010526 112251997 10
40010595 107284911 10
20010013 94492362 10
20010028 91824133 9
20010021 88804249 10
40010597 84707788 10
20010018 80968054 10
20010011 79254991 10
40010293 70612606 10
40010511 70305169 10
40010436 66818274 9
20010032 66632530 10
20010014 64518011 10
40010353 63951728 10
40010565 63245970 10
20010008 62322856 10
30030010 62047640 10
40010152 60704799 9
40010463 59103240 10
40010598 56291634 10
30030005 55747898 10
40010596 55672941 10
20010025 55455000 10
40010412 54897380 10
40010460 54048870 9
50000079 52998258 10
50000058 50837348 10
40010528 49587863 10
40010105 48214175 10
50000086 45080588 10
20010019 44597999 10
40010136 43948248 9
40010527 43911696 10
50000081 41477547 10
40010604 41117746 10
40010369 38586246 10
40010446 38415097 10
40010021 37849166 10
40010478 37044787 9
40010181 37043935 10
40010622 36905953 10
40010423 36621250 10
40010126 36609093 10
30030015 36523343 10
40010355 35357438 10
50000064 35243722 9
50000000 34483491 10
40010139 34260158 10
40010538 34189158 10
40010352 33986764 10
40010472 33606238 10
20010029 32091641 10
10010002 32060072 9
40010402 31110003 10
40010164 30447591 10
50000078 29856900 10
40010161 29381004 10
40010571 28802684 10
50000080 28196918 10
40010556 28050788 9
30030006 27953563 10
40010131 27122752 10
20010034 27080772 10
20010012 26537543 10
50000082 26247069 10
50000065 26101847 10
20010040 24774227 9
20010007 24531721 10
40010155 24433077 10
20010005 23736609 10
40010256 23594049 10
40010133 23124212 10
40010127 23118465 10
40010271 23110554 9
30030011 22913960 10
50000085 22808851 10
40010153 22304606 10
50000134 21943596 10
40010124 20781804 10
40010421 20661871 10
40010101 20559866 9
40010566 20546652 10
40010567 20282882 10
20010039 20085745 10
40010490 19029126 10
40010118 18871715 10
40010130 18736244 10
40010422 18579611 9
50000118 18552823 10
40010163 17875704 10
40010159 17583258 10
20010002 17344997 10
50000138 17334344 10
40010437 17306828 10
40010142 17027323 9
40010512 16917053 10
50000084 16876790 10
50000090 16502094 10
40010120 16103982 10
30030001 15948118 10
40010513 15913773 10
40010464 15568120 9
40010141 15536090 10
40010466 15500377 10
40010234 15393832 10
50000083 15126047 10
50000088 15054895 10
40010144 14522708 10
30020007 14418600 9
40010122 14290404 10
40010065 14272447 10
40010439 14146042 10
20010037 13951982 10
50000122 13915255 10
40010379 13804843 10
40010128 13545502 9
50000067 13344577 10
40010237 13302749 10
40010129 13301973 10
40010156 13224816 10
40010258 13195532 10
40010112 12974702 10
50000099 12885908 9
40010113 12542579 10
50000105 12527980 10
40010009 12030292 10
50000137 11996578 10
30040002 11894771 10
50000121 11688686 10
40010491 11616309 9
40040001 11447628 10
40010454 11425887 10
50000062 11292199 10
40010427 11176401 10
40010433 11162937 10
40010499 10891782 10
40010473 10795076 9
40010236 10772582 10
40010532 10665805 10
50000093 10498783 10
40010574 10151157 10
50000111 10130387 10
40010110 9997409 10
40010438 9984621 9
40010605 9962632 10
40010413 9849696 10
50000066 9839668 10
40010541 9732000 10
40010114 9589984 10
40010479 9540908 10
40010492 9248637 9
40010303 8900124 10
50000142 8865582 10
40010592 8811326 10
40010577 8778028 10
40010474 8777440 10
50000119 8761168 10
40010502 8756706 9
40010457 8692882 10
50000117 8571610 10
40010465 8453840 10
