1000 0.500000
0
1
0
Filter @ 0x10a8010
- filter -
size:  1000
error: 0.500000
- bloom -
bit_size:   1443
bit/entry:  1.443000
byte_size:  181
hash_num:   1
entries:    1
20010031 1048135778 2
40010420 951700908 3
20010006 891072920 4
20010036 584809255 5
20010017 508515914 6
40010624 407428647 7
20010024 340269138 8
20010001 338810315 9
40010108 338702986 9
40010357 295475976 3
40010287 263103874 4
40010377 247607159 5
20010038 195408440 6
20010027 167651399 7
40010162 147082518 8
40010079 137727923 9
20010026 134761597 9
40010062 130261583 4
40010526 112251997 5
40010595 107284911 6
20010013 94492362 7
20010028 91824133 8
20010021 88804249 9
40010597 84707788 10
20010018 80968054 10
20010011 79254991 5
40010293 70612606 6
40010511 70305169 7
40010436 66818274 8
20010032 66632530 9
20010014 64518011 10
40010353 63951728 11
40010565 63245970 11
20010008 62322856 6
30030010 62047640 7
40010152 60704799 8
40010463 59103240 9
40010598 56291634 10
30030005 55747898 11
40010596 55672941 12
20010025 55455000 12
40010412 54897380 7
40010460 54048870 8
50000079 52998258 9
50000058 50837348 10
40010528 49587863 11
40010105 48214175 12
50000086 45080588 13
20010019 44597999 13
40010136 43948248 8
40010527 43911696 9
50000081 41477547 10
40010604 41117746 11
40010369 38586246 12
40010446 38415097 13
40010021 37849166 14
40010478 37044787 14
40010181 37043935 9
40010622 36905953 10
40010423 36621250 11
40010126 36609093 12
30030015 36523343 13
40010355 35357438 14
50000064 35243722 15
50000000 34483491 15
40010139 34260158 10
40010538 34189158 11
40010352 33986764 12
40010472 33606238 13
20010029 32091641 14
10010002 32060072 15
40010402 31110003 16
40010164 30447591 16
50000078 29856900 11
40010161 29381004 12
40010571 28802684 13
50000080 28196918 14
40010556 28050788 15
30030006 27953563 16
40010131 27122752 17
20010034 27080772 17
20010012 26537543 12
50000082 26247069 13
50000065 26101847 14
20010040 24774227 15
20010007 24531721 16
40010155 24433077 17
20010005 23736609 18
40010256 23594049 18
40010133 23124212 13
40010127 23118465 14
40010271 23110554 15
30030011 22913960 16
50000085 22808851 17
40010153 22304606 18
50000134 21943596 19
40010124 20781804 19
40010421 20661871 14
40010101 20559866 15
40010566 20546652 16
40010567 20282882 17
20010039 20085745 18
40010490 19029126 19
40010118 18871715 20
40010130 18736244 20
40010422 18579611 15
50000118 18552823 16
40010163 17875704 17
40010159 17583258 18
20010002 17344997 19
50000138 17334344 20
40010437 17306828 20
40010142 17027323 16
40010512 16917053 17
50000084 16876790 18
50000090 16502094 19
40010120 16103982 20
30030001 15948118 21
40010513 15913773 21
40010464 15568120 17
40010141 15536090 18
40010466 15500377 19
40010234 15393832 20
50000083 15126047 21
50000088 15054895 22
40010144 14522708 22
30020007 14418600 18
40010122 14290404 19
40010065 14272447 20
40010439 14146042 21
20010037 13951982 22
50000122 13915255 23
40010379 13804843 23
40010128 13545502 19
50000067 13344577 20
40010237 13302749 21
40010129 13301973 22
40010156 13224816 23
40010258 13195532 24
40010112 12974702 24
50000099 12885908 20
40010113 12542579 21
50000105 12527980 22
40010009 12030292 23
50000137 11996578 24
30040002 11894771 25
50000121 11688686 25
40010491 11616309 21
40040001 11447628 22
40010454 11425887 23
50000062 11292199 24
40010427 11176401 25
40010433 11162937 26
40010499 10891782 26
40010473 10795076 22
40010236 10772582 23
40010532 10665805 24
50000093 10498783 25
40010574 10151157 26
50000111 10130387 27
40010110 9997409 27
40010438 9984621 23
40010605 9962632 24
40010413 9849696 25
50000066 9839668 26
40010541 9732000 27
40010114 9589984 28
40010479 9540908 28
40010492 9248637 24
40010303 8900124 25
50000142 8865582 26
40010592 8811326 27
40010577 8778028 28
40010474 8777440 29
50000119 8761168 29
40010502 8756706 25
40010457 8692882 26
50000117 8571610 27
40010465 8453840 28
